Task ID,Type,Name,Status,Project,Context,Start Date,Due Date,Completion Date,Duration,Flagged,Notes,Tags
12.1.1.13,Action,Daily Review Session,,Generic,,,2019-08-17 06:00:00 +0000,2019-08-16 07:00:00 +0000,10m,0,R1234567,
12.1.1.14,Action,Daily Review Session,,Generic,,,2019-08-18 06:00:00 +0000,2019-08-18 06:34:21 +0000,10m,0,R1234567,
12.1.1.15,Action,Daily Review Session,,Generic,,,2019-08-19 06:00:00 +0000,2019-08-18 07:00:00 +0000,10m,0,R1234567,
12.1.1.16,Action,Daily Review Session,,Generic,,,2019-08-20 06:00:00 +0000,2019-08-20 05:51:18 +0000,10m,0,R1234567,
12.1.1.17,Action,Daily Review Session,,Generic,,,2019-08-21 06:00:00 +0000,2019-08-21 06:54:05 +0000,10m,0,R1234567,
12.1.1.18,Action,Daily Review Session,,Generic,,,2019-08-22 06:00:00 +0000,2019-08-21 07:00:00 +0000,10m,0,R1234567,
12.1.1.19,Action,Daily Review Session,,Generic,,,2019-08-23 06:00:00 +0000,2019-08-24 06:26:38 +0000,10m,0,R1234567,
12.1.1.20,Action,Daily Review Session,,Generic,,,2019-08-25 06:00:00 +0000,2019-08-24 07:00:00 +0000,10m,0,R1234567,
12.1.1.21,Action,Daily Review Session,,Generic,,,2019-08-26 06:00:00 +0000,2019-08-26 05:58:59 +0000,10m,0,R1234567,
12.1.1.22,Action,Daily Review Session,,Generic,,,2019-08-27 06:00:00 +0000,2019-08-31 04:04:29 +0000,10m,0,R1234567,
12.1.1.23,Action,Daily Review Session,,Generic,,,2019-09-01 06:00:00 +0000,2019-09-01 07:00:00 +0000,10m,0,R1234567,
12.1.1.24,Action,Daily Review Session,,Generic,,,2019-09-03 06:00:00 +0000,,10m,0,R1234567,
12.1.2,Action,Anki Objective July,,Generic,,,,2019-08-01 07:00:00 +0000,,0,,
12.1.2.1,Action,Daily Review Session,,Generic,,,2019-07-02 06:00:00 +0000,2019-07-01 07:00:00 +0000,10m,0,,
12.1.2.2,Action,Daily Review Session,,Generic,,,2019-07-04 06:00:00 +0000,2019-07-04 04:53:19 +0000,10m,0,R1234567,
